country_code,country_name,evi_main_avg,dri_avg,risk_gap_avg,cluster,cluster_label
IDN,Indonesia,0.6242889399019711,0.4245482586842282,0.19974068121774288,2,High vulnerability - High readiness
LAO,Laos,0.3239943451999581,0.23955341059667276,0.08444093460328535,1,Low vulnerability - Low readiness
MYS,Malaysia,0.613802009149706,0.6170937805815537,-0.00329177143184776,2,High vulnerability - High readiness
PHL,Philippines,0.42234225654931995,0.4726016007478064,-0.05025934419848636,1,Low vulnerability - Low readiness
KHM,Cambodia,0.32661966848366436,0.3966416790339462,-0.07002201055028189,1,Low vulnerability - Low readiness
VNM,Vietnam,0.5348072755152894,0.6086895169335723,-0.07388224141828292,2,High vulnerability - High readiness
THA,Thailand,0.3645496895088358,0.6923181541666491,-0.32776846465781323,0,Low vulnerability - High readiness
SGP,Singapore,0.3852742684102668,0.7992306774382394,-0.41395640902797265,0,Low vulnerability - High readiness
