country_code,country_name,is_benchmark,year,mobile_sub,broadband,net_user,agr_emp,ind_emp,srv_emp,youth_unemp,unemp,ind_emp_n,agr_emp_n,srv_emp_n,unemp_n,youth_unemp_n,net_user_n,mobile_sub_n,broadband_n,evi_main,evi_robust_010,evi_robust_020,dri,risk_gap,risk_gap_robust_010,risk_gap_robust_020
CHN,China,True,2015,92.5401171363348,19.8437947555032,50.29999924,28.3004717268993,29.2998175326072,42.3997107404935,10.68,4.65,0.8210042699954163,0.38719554228724923,0.33131020435603536,0.9282933825035854,0.6115398314139855,0.47896109144811927,0.3170058211686992,0.4178393935768814,0.7086986929354675,0.6709598440775243,0.6332209952195811,0.40460210206456665,0.30409659087090085,0.26635774201295764,0.22861889315501444
CHN,China,True,2016,97.2138770934621,22.9761329915729,53.2,27.4221249065299,29.6444492814543,42.9334259446319,10.574,4.56,0.8332933675473658,0.37514447108219456,0.3394812454498757,0.9098545380045072,0.6052475365071827,0.5106248387587036,0.3530013962282189,0.4845140029624725,0.7037924231085712,0.6673613053427015,0.6309301875768321,0.449380079316465,0.25441234379210614,0.21798122602623654,0.18155010826036705
CHN,China,True,2017,104.073181609424,27.9101271418763,54.3,26.6835826166189,29.9706060456204,43.3458036346466,10.431,4.47,0.844923672374109,0.3650115423605781,0.34579464073104,0.8914156935054292,0.5967588745102694,0.522635222522066,0.40582922924174136,0.5895384632503399,0.6985230521882729,0.6632502110425497,0.6279773698968263,0.5060009716713824,0.19252208051689057,0.1572492393711673,0.12197639822544393
CHN,China,True,2018,116.229125477063,28.7089097131815,65.35839844,25.7514953274594,30.3637847933889,43.8847198791517,9.674,4.31,0.8589438896142337,0.3522231425730506,0.3540453084014468,0.8586355255070681,0.5518223910720645,0.64337668531531,0.4994498246340327,0.6065412617707892,0.6807422745436634,0.6480725779294418,0.6154028813152201,0.5831225905733772,0.0976196839702862,0.06494998735606461,0.03228029074184291
CHN,China,True,2019,122.670391850252,31.5611222411202,64.080881297515,24.7219896643701,30.7587386897164,44.5192735154599,10.681,4.56,0.8730274062279181,0.3380981457447153,0.36376015968976705,0.9098545380045072,0.6115991926866912,0.62942807518302,0.5490580820844206,0.6672531459457299,0.7098912836901181,0.6752781712900829,0.640665058890048,0.6152464344043902,0.09464484928572792,0.060031736885692744,0.025418624485657793
CHN,China,True,2020,120.496715387079,33.9069794578039,70.05275998,23.5998596785258,31.1322866175828,45.2678537038915,12.65,5.0,0.8863476152372031,0.3227023270918403,0.37522072786223215,1.0,0.7284815386441885,0.6946322158783728,0.5323172278251133,0.7171868063006889,0.762565134650576,0.7238306939717416,0.6850962532929072,0.6480454166680584,0.11451971798251759,0.07578527730368323,0.03705083662484887
CHN,China,True,2021,121.491918368395,37.5611751315805,73.05323517,22.8687780404897,31.5342449659426,45.5969845625275,12.404,4.55,0.9006809010454288,0.3126717598120775,0.3802596357859951,0.9078057775046097,0.7138786655585896,0.7273929963368706,0.5399819140610397,0.7949696160758175,0.7381597330418439,0.7023697233162591,0.6665797135906741,0.6874481754912426,0.050711557550601305,0.014921547825016535,-0.020868461900568458
CHN,China,True,2022,124.195248970763,41.3736197056022,75.61131603,24.0801085619325,30.9312938882327,44.9886051327682,14.673,4.98,0.8791804889742313,0.32929142533397676,0.3709455047987855,0.995902479000205,0.8485693933277929,0.7553234807244271,0.5608019691132559,0.8761208946478476,0.7907303998410642,0.7487519103368363,0.7067734208326084,0.7307487814951769,0.05998161834588733,0.018003128841659444,-0.023975360662568446
CHN,China,True,2023,128.247014127486,44.728886496649,90.6,22.8008772042629,31.4267217641686,45.7723935112505,15.562,4.67,0.8968467704984927,0.31174014852451365,0.3829451012123674,0.9323909035033805,0.9013415647631485,0.9189778867130258,0.5920071696713121,0.9475407368926597,0.7898351779210828,0.7491461702502114,0.7084571625793398,0.8195085977589992,-0.02967341983791638,-0.07036242750878785,-0.11105143517965943
CHN,China,True,2024,131.753932036803,47.1933952081567,92.0,22.216498294765,31.6324437528704,46.1510599840955,15.044,4.59,0.9041825356919053,0.30372236820610865,0.38874238651824694,0.9160008195042,0.8705924255016028,0.9342638296845781,0.6190161577216917,1.0,0.778647545600244,0.7396570296920443,0.7006665137838446,0.8510933291354233,-0.07244578353517939,-0.11143629944337907,-0.15042681535157876
